PCS_ESE;label;Effectifs en EQTP;Salaire moyen en EQTP;Année
675B;Ouvriers de production non qualifiés du travail du bois et de l'ameublement;19580;1600;2023
675C;Ouvriers de production non qualifiés de l'imprimerie, presse, édition;10000;1700;2023
676A;Manutentionnaires non qualifiés;105650;1800;2023
676B;Déménageurs (hors chauffeurs-déménageurs), non qualifiés;5560;1800;2023
676C;Ouvriers du tri, de l'emballage, de l'expédition, non qualifiés;187430;1900;2023
676D;Agents non qualifiés des services d'exploitation des transports;24710;2100;2023
676E;Ouvriers non qualifiés divers de type industriel;152560;1500;2023
681A;Ouvriers non qualifiés du gros oeuvre du bâtiment;110740;1800;2023
681B;Ouvriers non qualifiés du second oeuvre du bâtiment;75610;1700;2023
682A;Métalliers, serruriers, réparateurs en mécanique non qualifiés;24620;1800;2023
683A;Apprentis boulangers, bouchers, charcutiers;2290;2000;2023
684A;Nettoyeurs;366350;1600;2023
684B;Ouvriers non qualifiés de l'assainissement et du traitement des déchets;26440;1900;2023
685A;Ouvriers non qualifiés divers de type artisanal;41870;1400;2023
691A;Conducteurs d'engin agricole ou forestier;4260;2100;2023
691B;Ouvriers de l'élevage;8070;1800;2023
691C;Ouvriers du maraîchage ou de l'horticulture;11420;1600;2023
691D;Ouvriers de la viticulture ou de l'arboriculture fruitière;10050;2000;2023
691E;Ouvriers agricoles sans spécialisation particulière;36770;1700;2023
691F;Ouvriers de l'exploitation forestière ou de la sylviculture;2390;1800;2023
692A;Marins-pêcheurs et ouvriers de l'aquaculture;1010;2100;2023
